product_category,total_orders,total_returns,return_rate
agro_industry_and_commerce,246,28,0.11382113821138211
air_conditioning,289,44,0.1522491349480969
art,205,30,0.14634146341463414
arts_and_craftmanship,24,3,0.125
audio,375,80,0.21333333333333335
auto,4260,593,0.1392018779342723
baby,3096,463,0.14954780361757106
bed_bath_table,11685,2181,0.18664955070603337
books_general_interest,545,38,0.06972477064220184
books_imported,59,5,0.0847457627118644
books_technical,267,27,0.10112359550561797
cds_dvds_musicals,14,0,0.0
christmas_supplies,145,19,0.1310344827586207
cine_photo,72,9,0.125
computers,213,24,0.11267605633802817
computers_accessories,7927,1340,0.16904251293049072
consoles_games,1130,141,0.12477876106194691
construction_tools_construction,937,128,0.13660618996798293
construction_tools_lights,302,40,0.13245033112582782
construction_tools_safety,186,32,0.17204301075268819
cool_stuff,3888,464,0.11934156378600823
costruction_tools_garden,241,36,0.14937759336099585
costruction_tools_tools,101,9,0.0891089108910891
diapers_and_hygiene,37,8,0.21621621621621623
drinks,371,45,0.12129380053908356
dvds_blu_ray,67,9,0.13432835820895522
electronics,2789,415,0.14879885263535317
fashio_female_clothing,46,6,0.13043478260869565
fashion_bags_accessories,2114,249,0.11778618732261116
fashion_childrens_clothes,7,0,0.0
fashion_male_clothing,137,39,0.2846715328467153
fashion_shoes,268,31,0.11567164179104478
fashion_sport,30,2,0.06666666666666667
fashion_underwear_beach,139,21,0.1510791366906475
fixed_telephony,259,60,0.23166023166023167
flowers,31,2,0.06451612903225806
food,503,58,0.11530815109343936
food_drink,281,18,0.06405693950177936
furniture_bedroom,119,25,0.21008403361344538
furniture_decor,8558,1543,0.1802991353119888
furniture_living_room,514,88,0.17120622568093385
furniture_mattress_and_upholstery,40,7,0.175
garden_tools,4452,658,0.14779874213836477
health_beauty,9747,1225,0.12567969631681544
home_appliances,806,84,0.10421836228287841
home_appliances_2,262,28,0.10687022900763359
home_comfort_2,28,7,0.25
home_confort,471,85,0.18046709129511676
home_construction,623,106,0.17014446227929375
housewares,7154,998,0.13950237629298295
industry_commerce_and_business,266,35,0.13157894736842105
kitchen_dining_laundry_garden_furniture,289,38,0.1314878892733564
la_cuisine,15,3,0.2
luggage_accessories,1144,106,0.09265734265734266
market_place,323,40,0.1238390092879257
music,40,4,0.1
musical_instruments,682,84,0.12316715542521994
office_furniture,1748,431,0.2465675057208238
party_supplies,45,9,0.2
perfumery,3495,489,0.13991416309012875
pet_shop,1998,235,0.11761761761761762
security_and_services,2,1,0.5
signaling_and_security,198,25,0.12626262626262627
small_appliances,679,82,0.12076583210603829
small_appliances_home_oven_and_coffee,75,5,0.06666666666666667
sports_leisure,8736,1135,0.12992216117216118
stationery,2557,304,0.11888932342588972
tablets_printing_image,85,11,0.12941176470588237
telephony,4580,708,0.15458515283842794
toys,4161,507,0.12184571016582552
watches_gifts,6032,899,0.14903846153846154
